Course Name,Course Code,Prerequisite
Digital Audio & Video,DES514,None
Information Systems in,DES515,None
Introduction to 3D,DES516,None
Introduction to 3D,DES516s,None
Introduction to Motion,DES518,None
Human Centred AI,DES520,"DES204 , CSE643  or"
Fundamentals of Video for,DES521,None
"Inclusive Design, Universal",DES522,DES201
Digital Circuits,ECE111,None
Basic Electronics,ECE113,None
Integrated Electronics,ECE214,"ECE111 , ECE113 , DES130"
Circuit Theory and Devices,ECE215,None
Fields and Waves,ECE230,MTH203
Principles of,ECE240,"ECE250 , MTH201"
Signals and Systems,ECE250,MTH100
Embedded Logic Design,ECE270,None
Digital VLSI Design,ECE314/ECE514,None
Analog CMOS Circuit,ECE315/ECE515,None
Solid State Devices,ECE318/ECE518,None
RF Circuit Design,ECE321/ECE521,ECE230
Digital Communication,ECE340/ECE540,ECE240
Mobile Communications,ECE343,ECE240
Digital Signal Processing,ECE351,ECE250
Machine Learning,ECE363/ECE563/CSE343,"MTH100 , MTH201 , CSE101"
Mixed Signal Design,ECE412/ECE612,ECE315/ECE515
Antennas Theory and,ECE431/ECE631,ECE230
Radar Systems,ECE432/ECE632,ECE250
Statistical Signal,ECE452/ECE552,"MTH100 , MTH201 , ECE250"
Probability and Random,ECE501,ECE240
Digital Hardware Design,ECE510,ECE270
VLSI Design Flow,ECE513,ECE101
System on Chip Design,ECE516,"ECE314/ECE514 , CSE234"
Introduction to,ECE517,None
Intelligent Applications,ECE519,CSE112
Low Voltage Analog Circuit,ECE520,ECE315/ECE515
Integrated Circuit,ECE522,None
Quantum Materials and,ECE524,BasicKnowledgeonsemiconduct  or devicephysics
Optical Fiber Networks for,ECE532,None
Satellite Navigation and,ECE533,ECE351
Optical Communications,ECE534,ECE240
Optical Networking,ECE536s,None
Wireless Communication,ECE537,ECE240
Wireless System,ECE539,ECE240
Principals of Digital,ECE543,ECE240
Photonics: Fundamentals &,ECE545,ECE230
Optical and Wireless,ECE546,None
Deep Learning,ECE553 / CSE641,None
Compressive Sensing,ECE554,MTH100
Speech Recognition and,ECE557,ECE250
Transform Learning and,ECE558,MTH100
Modeling and Analysis of,ECE55G,MTH201
Data Processing and,ECE560,None
Reinforcement Learning,ECE564/CSE564,MTH201
Linear Systems Theory,ECE570,None
Optimal Control Systems,ECE571,None
Advanced Embedded,ECE573,CSE234
Machine Learning,ECE577,None
Nonlinear and Adaptive,ECE579,None
Autonomous Driving,ECE581,None
Memory Design and,ECE611,"ECE111 , ECE113"
Stochastic Estimation and,ECE672,ECE501
Macroeconomics,ECO201,None
Econometrics I,ECO221,MTH201
Money and Banking,ECO223,None
Introduction to Economic,ECO301,None
Microeconomics,ECO301,None
Game Theory,ECO311/ECO511,None
Industrial Organization,ECO312/ECO512,ECO101  or ECO311
Market Design,ECO313,ECO311
Behavioural Economics,ECO314,MTH201
Econometrics II,ECO322/ECO522,ECO221
Spatial Statistics and,ECO324/ECO524,ECO221
Foundations of Finance,ECO331,None
Valuation and Portfolio,ECO332,None
Derivatives and Risk,ECO333,ECO331  or ECO332
Markov Decision,ECO341/ECO541,"MTH100 , MTH201 , MTH203"
Decision Theory,ECO503,None
Research Methods,ENG599s,None
Entrepreneurial,ENT411,None
Entrepreneurial Khichadi,ENT412,None
Entrepreneurial Finance,ENT413,None
Relevance of Intellectual,ENT414,None
New Venture Planning,ENT415,None
"Creativity, Innovation, and",ENT416/ENT516,None
Healthcare Innovation and,ENT421/BIO571,None
Environmental Sciences,ESC205,None
"Ecology, Evolution, and",ESC207A,None
Eﬀective Supply Chain for,MGT310,None
Emerging Issues in IT,MGT311,None
Linear Algebra,MTH100,None
Probability and Statistics,MTH201,None
Multivariate Calculus,MTH203,None
Diﬀerential Equations,MTH204,MTH203
Discrete Structures,MTH210,None
Number Theory,MTH211,None
Abstract Algebra I,MTH212,None
Real Analysis I,MTH240,None
Numerical Methods,MTH270,"MTH100 , MTH204"
Introduction to,MTH300,None
Algebra,MTH302,None
Graph Theory,MTH310 / MTH520,None
Combinatorics and its,MTH311,MTH100
Real Analysis-II,MTH340,MTH240
Complex Analysis,MTH341 / MTH541,MTH240
Introduction to Dynamical,MTH343/MTH543,"MTH100 , MTH203 , MTH240"
Stochastic Processes and,MTH371,MTH201
Statistical Inference,MTH372,MTH201
Scientiﬁc Computing,MTH373,MTH100
Linear Optimization,MTH374/MTH574,MTH100
